StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,prolific_id,att_1,att_2,automation_1,software_resp_1,software_liable_1,human_resp_1,human_liable_1,comp_1,comp_2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,workerID,hitID,assignmentId,Tax Auto-Prepare-Tax Co-Prepare
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated systems. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 2.5 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.50 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.",What do you perceive as the level of automation for Finnovation's [Field-Tax Auto-Prepare-Tax Co-Prepare]? - What do you perceive as the level of automation for Finnovation's ${e://Field/Tax Auto-Prepare-Tax Co-Prepare}?,Finnovation's [Field-Tax Auto-Prepare-Tax Co-Prepare] is responsible for the penalty. - Finnovation's ${e://Field/Tax Auto-Prepare-Tax Co-Prepare} is responsible for the penalty.,Finnovation's [Field-Tax Auto-Prepare-Tax Co-Prepare] is liable for the penalty. - Finnovation's ${e://Field/Tax Auto-Prepare-Tax Co-Prepare} is liable for the penalty.,The human using the software is responsible for the penalty.,The human using the software is liable for the penalty.,What was the service used by the person in the given scenario?,What happened after the person filed his taxes in the given scenario?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,How much would you say you know about Artificial Intelligence?,workerID,hitID,assignmentId,Tax Auto-Prepare-Tax Co-Prepare
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID336""}","{""ImportId"":""QID1717242892_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID321_1""}","{""ImportId"":""QID323_1""}","{""ImportId"":""QID325_1""}","{""ImportId"":""QID326_1""}","{""ImportId"":""QID327_1""}","{""ImportId"":""QID328""}","{""ImportId"":""QID329""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""Tax Auto-Prepare-Tax Co-Prepare""}"
2024-08-28 07:48:27,2024-08-28 07:50:45,0,73.102.92.6,100,138,1,2024-08-28 07:50:46,R_34OiJAKCnW5qHzG,,,,,39.968,-86.0853,anonymous,EN,1,6543ae61df4c68a0e486942f,2,5,90,100,100,0,0,2,4,2,,3,,43,4,,70,,,,Tax Auto-Prepare
2024-08-28 07:48:51,2024-08-28 07:50:51,0,68.224.48.51,100,120,1,2024-08-28 07:50:51,R_6W1IYNnzDksWAOR,,,,,36.0574,-115.3213,anonymous,EN,1,5fe821174cfb7d1f5b64e0c3,2,5,80,100,90,0,0,2,4,1,,3,,23,1,,65,,,,Tax Auto-Prepare
2024-08-28 07:49:30,2024-08-28 07:52:42,0,98.97.2.2,100,191,1,2024-08-28 07:52:42,R_3Pv9j5WOd8sNpAU,,,,,41.8874,-87.6318,anonymous,EN,1,65a2aeeaff22f2a843564a85,2,5,70,65,70,35,40,2,4,2,,3,,42,8,Associate Degree,25,,,,Tax Co-Prepare
2024-08-28 07:52:16,2024-08-28 07:54:06,0,173.189.135.8,100,110,1,2024-08-28 07:54:06,R_73xuSAm4SDiU6uR,,,,,34.0861,-83.784,anonymous,EN,1,62029b1eef1cb18a1337c797,2,5,84,87,86,91,90,2,4,1,,3,,36,4,,57,,,,Tax Co-Prepare
2024-08-28 07:52:13,2024-08-28 07:54:51,0,98.197.8.196,100,157,1,2024-08-28 07:54:52,R_1LwTCm5pP155453,,,,,29.584,-95.0396,anonymous,EN,1,65eb6bdb082c131dbe1c1ea0,2,5,90,50,30,50,81,2,4,2,,3,,39,5,,65,,,,Tax Auto-Prepare
2024-08-28 07:54:11,2024-08-28 07:55:40,0,173.14.112.225,100,89,1,2024-08-28 07:55:41,R_3Y9Qk2iSY7S9EL6,,,,,38.0936,-78.5623,anonymous,EN,1,5c7de839b3af1b0001984524,2,5,70,80,70,40,50,2,4,1,,3,,33,5,,92,,,,Tax Co-Prepare
2024-08-28 07:53:49,2024-08-28 07:56:14,0,209.243.3.254,100,144,1,2024-08-28 07:56:14,R_6g1Ul5XuhqSFCbU,,,,,46.9208,-98.745,anonymous,EN,1,5843e65e56019d0001f6a305,2,5,86,100,55,0,70,2,4,1,,3,,39,3,,35,,,,Tax Auto-Prepare
2024-08-28 07:52:03,2024-08-28 07:57:12,0,131.150.244.78,100,308,1,2024-08-28 07:57:12,R_5251II3DustQoB8,,,,,46.3495,-120.1855,anonymous,EN,1,60528727a8bd70153578f03a,2,5,73,77,75,21,18,2,4,1,,3,,39,3,,33,,,,Tax Auto-Prepare
2024-08-28 07:55:36,2024-08-28 07:57:32,0,47.153.173.248,100,115,1,2024-08-28 07:57:32,R_3l6jLLkIMKKcpsi,,,,,33.6598,-117.3485,anonymous,EN,1,5eecf1bd4c5f9a0e22b7485b,2,5,80,30,20,80,60,2,4,2,,2,,25,4,,50,,,,Tax Auto-Prepare
2024-08-28 07:54:53,2024-08-28 07:57:43,0,24.2.202.6,100,170,1,2024-08-28 07:57:44,R_6OitKlwgoMGb9Jf,,,,,44.4537,-73.1773,anonymous,EN,1,663ab2672d1e1e4df97ad214,2,5,69,92,91,20,23,2,4,2,,3,,36,4,,30,,,,Tax Co-Prepare
