StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,prolific_id,att_1,att_2,comp_1,comp_2,automation,firm_resp_1,human_resp_1,firm_liable_1,human_liable_1,reason,comp_3,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,workerID,hitID,assignmentId,label
10/21/25 13:02,10/21/25 13:05,IP Address,174.231.130.182,100,136,TRUE,10/21/25 13:05,R_7dwafNFpEDZB5WF,,,,,47.6109,-122.3303,anonymous,EN,I agree,663c1925ab9d8b179a23180e,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",4,50,50,50,50,I think they are both equally responsible.,The ${e://Field/label} system was 'switched on' at the time of the accident,Female,-99,White or European,-99,29,High School or Equivalent,-99,50,,,,CoDrive
10/21/25 13:02,10/21/25 13:05,IP Address,139.47.33.245,100,145,TRUE,10/21/25 13:05,R_8IWxqUhdTburCo4,,,,,41.3768,2.1669,anonymous,EN,I agree,5a6c8047e70ca900017acdae,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",5,100,100,100,100,"I think they both are. If you are in an automated car, you still need to be aware of what’s going on. I don’t trust them at all that I don’t think it’s a good idea.",The ${e://Field/label} system was 'switched on' at the time of the accident,Female,-99,White or European,-99,54,College Graduate (4 year),-99,55,,,,AutoDrive
10/21/25 13:02,10/21/25 13:05,IP Address,73.115.18.162,100,158,TRUE,10/21/25 13:05,R_5Hpezg3T4iYGv7Z,,,,,29.7023,-95.4592,anonymous,EN,I agree,679092c04be0476c6a4ddccc,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",3,45,64,65,53,The human driver is the one in control of the vehicle and has choices to prevent or instigate a crash so the human is more liable,The ${e://Field/label} system was 'switched off' at the time of the accident,Female,-99,Asian,-99,24,College Graduate (4 year),-99,69,,,,CoDrive
10/21/25 13:02,10/21/25 13:05,IP Address,98.114.140.222,100,170,TRUE,10/21/25 13:05,R_71neIODRpOFRTj3,,,,,40.2104,-74.8278,anonymous,EN,I agree,5f6b8930b9d9530b1b065360,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",5,10,80,10,80,The human will be liable until things change in our society.  One day we may have it where the company takes on the responsbility but we are a long way away from that.  In today's world the human is going to continue to be held responsible.,The ${e://Field/label} system was 'switched on' at the time of the accident,Male,-99,White or European,-99,42,College Graduate (4 year),-99,72,,,,CoDrive
10/21/25 13:01,10/21/25 13:05,IP Address,75.67.184.231,100,262,TRUE,10/21/25 13:05,R_7kaDBJpP3nau1z0,,,,,42.1398,-71.5162,anonymous,EN,I agree,5e3dec90ce522506a9045e17,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",4,40,70,30,90,Although I understand the CoDrive was on the human still needs to pay attention. There is no such thing as fully autonomous driving yet so the liability is still on the human. ,The ${e://Field/label} system was 'switched on' at the time of the accident,Male,-99,Asian,-99,51,Masters Degree (MS),-99,20,,,,CoDrive
10/21/25 13:02,10/21/25 13:05,IP Address,172.59.220.198,100,190,TRUE,10/21/25 13:05,R_71clWdoPYHAGss4,,,,,35.2426,-80.741,anonymous,EN,I agree,67858fffbdfd020464712859,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",4,50,50,80,20,Equally at fault but company is more responsible for damages as they are the primary driver ,The ${e://Field/label} system was 'switched on' at the time of the accident,Male,-99,White or European,-99,63,College Graduate (4 year),-99,62,,,,CoDrive
10/21/25 13:03,10/21/25 13:06,IP Address,47.185.24.167,100,154,TRUE,10/21/25 13:06,R_7WJq38GBMdzjA2Q,,,,,32.9321,-97.2834,anonymous,EN,I agree,677168d70ec2f9f7f9f6ac05,Paul,Neither Agree nor Disagree,The number of typical daily tasks controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",4,99,80,100,82,Driver switched it on,The ${e://Field/label} system was 'switched on' at the time of the accident,Male,-99,White or European,-99,73,Some College,-99,70,,,,CoDrive
10/21/25 13:03,10/21/25 13:06,IP Address,104.55.227.139,100,185,TRUE,10/21/25 13:06,R_5YCafF88igQyf2F,,,,,29.3521,-98.6108,anonymous,EN,I agree,60fccf0b5b812c75042a6fd7,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",6,77,51,75,51,The company is more liable as the human driver only looked down at the text message because he had the auto drive feature on ,The ${e://Field/label} system was 'switched on' at the time of the accident,Female,-99,Hispanic or Latino,-99,25,College Graduate (4 year),-99,51,,,,AutoDrive
10/21/25 13:02,10/21/25 13:06,IP Address,76.110.3.107,100,254,TRUE,10/21/25 13:06,R_7VJRprioHzUfK2s,,,,,25.8906,-80.1784,anonymous,EN,I agree,6112b4cdd72db936075c0db8,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",5,75,93,71,94,I think the company is liable in a sense because of he car they are promoting but the human has more fault because you shouldnt put your full trust in technology like that and even worse you shouldnt not fully pay attention.,The ${e://Field/label} system was 'switched on' at the time of the accident,Female,-99,Hispanic or Latino,-99,22,Some College,-99,72,,,,AutoDrive
10/21/25 13:02,10/21/25 13:06,IP Address,69.137.207.70,100,255,TRUE,10/21/25 13:06,R_6jntH02OMAXM67n,,,,,26.3304,-81.5871,anonymous,EN,I agree,674dd9ec044cab2778ab680f,Paul,Neither Agree nor Disagree,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"HUMAN, HUMAN, HUMAN, HUMAN",4,80,70,70,60,AutoDrive should be able to detect any safety issues. ,The ${e://Field/label} system was 'switched on' at the time of the accident,Female,-99,White or European,-99,23,College Graduate (4 year),-99,50,,,,AutoDrive
