StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,FL_12_DO,av_frame1_acc_DO,av_frame2_acc_DO
3/5/23 19:43,3/5/23 19:46,0,98.253.171.82,100,181,1,3/5/23 19:46,R_3KCT5lKxXpY6jOQ,,,,,42.0311,-87.6858,anonymous,EN,1,5eb36e10b5441816445ec897,2,2,2,4,4,92,41,91,40,I think the human driver payed less attention because he had the Aeon car. ,2,,,,,,,,2,,2,,23,4,,1,0,5eb36e10b5441816445ec897,FL_35,frame1_info3|liable_firm1|liable_human1|resp_human1|resp_software1|liab_text1,
3/5/23 19:43,3/5/23 19:47,0,172.58.179.103,100,264,1,3/5/23 19:47,R_8plI4fZWPBFnGbT,,,,,32.7889,-96.8021,anonymous,EN,1,5d1ad6202ba4ad0001d623be,2,1,2,4,,,,,,,,5,0,100,0,100,"The human is more liable for the accident because you should never check your phone while driving, even if your car is supposed to be doing most of the driving work. Not everything is 100% and its completely irresponsible to think that is the case. ",4,2,,3,,27,1,,1,40,5d1ad6202ba4ad0001d623be,FL_36,,frame2_info3|resp_human2|resp_software2|liab_firm2|liab_human2|liab_text2
3/5/23 19:42,3/5/23 19:49,0,68.46.157.56,100,415,1,3/5/23 19:49,R_2YP0YThdo299UU1,,,,,42.6002,-83.0033,anonymous,EN,1,63d85e6f955d4af69dac5c83,2,2,2,4,2,60,50,60,50,"""A man is being driven home by his car's Autopilot system"". The man is being driven not the one driving. If he were in some sort of taxi service being driven it would not be his fault it would be the driver's. The driver in this scenario is the autopilot therefore it is at fault.",2,,,,,,,,1,,3,,27,3,,1,60,63d85e6f955d4af69dac5c83,FL_35,frame1_info3|resp_software1|resp_human1|liable_firm1|liable_human1|liab_text1,
3/5/23 19:50,3/5/23 19:51,0,65.189.30.133,100,32,1,3/5/23 19:51,R_2fCnbeoWm7de7Q3,,,,,40.4951,-81.9806,anonymous,EN,1,6405123d2fa9c8b7abca0f82,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,6405123d2fa9c8b7abca0f82,,,
3/5/23 19:47,3/5/23 19:51,0,98.221.189.223,100,247,1,3/5/23 19:51,R_2Ez5mWARC7dVz6b,,,,,39.9111,-74.1469,anonymous,EN,1,5ff217e93986cc6725ec82fb,2,2,1,4,,,,,,,,5,30,100,50,100,The human driver has the ultimate responsibility for as tool he posses. It is like carrying a loaded gun. it is not harmful on its own. Its owner is the responsible party,4,1,,3,,48,4,,1,80,5ff217e93986cc6725ec82fb,FL_36,,frame2_info3|liab_human2|resp_human2|resp_software2|liab_firm2|liab_text2
3/5/23 19:47,3/5/23 19:51,0,98.114.168.89,100,236,1,3/5/23 19:51,R_Os3ML66Ah232G77,,,,,39.9792,-75.1279,anonymous,EN,1,613b72107c627c2ea66937cd,2,1,2,4,6,100,30,85,8,"Aeon, the company is more liable for the accident because the driver was on autopilot mode and therefore the car should know when to stop. ",3,,,,,,,,2,,3,,27,5,,1,20,613b72107c627c2ea66937cd,FL_35,frame1_info3|liable_firm1|liable_human1|resp_human1|resp_software1|liab_text1,
3/5/23 19:48,3/5/23 19:52,0,208.126.189.28,100,220,1,3/5/23 19:52,R_1j7ZPG9caHmvw4P,,,,,42.2838,-91.0176,anonymous,EN,1,5fb3d39a2ceaab00087faddb,2,2,2,4,5,86,20,76,21,I think the human should have been able to depend on the auto pilot to make the right choices and keep them safe.,4,,,,,,,,2,,4,,36,4,,1,35,5fb3d39a2ceaab00087faddb,FL_35,frame1_info3|resp_software1|liable_human1|liable_firm1|resp_human1|liab_text1,
3/5/23 19:37,3/5/23 19:52,0,73.114.53.116,100,901,1,3/5/23 19:52,R_2DVcel4Ss9zCrPy,,,,,41.6669,-72.7726,anonymous,EN,1,62f32d1cd0736183ffe64dc7,2,2,2,4,,,,,,,,5,100,0,100,0,because the car is being driven by the ai not by the human ,4,4,non binary ,4,,20,1,,2,20,62f32d1cd0736183ffe64dc7,FL_36,,frame2_info3|resp_software2|liab_human2|resp_human2|liab_firm2|liab_text2
3/5/23 19:46,3/5/23 19:52,0,71.191.212.140,100,366,1,3/5/23 19:52,R_1Fns04TW93YrPDJ,,,,,38.4555,-77.4326,anonymous,EN,1,6110acc5ba65b8b432952b28,2,2,2,4,,,,,,,,6,70,51,100,41,"The human should not have tried texting while driving but on the other hand, the company's system failed. This type of situation is where you definitely don't want the system to fail. ",4,2,,3,,23,4,,1,52,6110acc5ba65b8b432952b28,FL_36,,frame2_info3|liab_human2|liab_firm2|resp_human2|resp_software2|liab_text2
3/5/23 19:45,3/5/23 19:53,0,12.157.79.13,100,506,1,3/5/23 19:53,R_XYwAm7wg01UxzUd,,,,,31.8137,-106.4084,anonymous,EN,1,63614d2f3531a1f02d12fe94,2,2,2,4,2,80,85,90,80,"It is both their faults, but the human should have recognized the dangers. Also, the part where he let the autopilot do all the work.",2,,,,,,,,1,,6,Pacific Islander,23,3,,1,40,63614d2f3531a1f02d12fe94,FL_35,frame1_info3|resp_human1|liable_human1|resp_software1|liable_firm1|liab_text1,
