StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $1.40 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.",You were shown a table. What did the table represent?,What were the values for vehicle type #1 (the one at the top of the table)?,What do you perceive as the level of automation for AEON's AUTOPILOT Program?,Aeon's Autopilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Autopilot described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What do you perceive as the level of automation for AEON's COPILOT Program?,Aeon's Copilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Copilot system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Do you have a driving license?,How much would you say you know about automated cars?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID123_10""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID131""}","{""ImportId"":""QID10""}","{""ImportId"":""QID118_10""}","{""ImportId"":""QID126_10""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}"
2023-08-13 16:36:24,2023-08-13 16:40:58,0,107.77.233.81,100,274,1,2023-08-13 16:40:58,R_2SvHy5IR7KNP2mt,,,,,37.751,-97.822,anonymous,EN,1,63483ed07567f8b5238da77c,2,2,2,2,6,62,76,20,76,"Even though the Machine is driving, it's still irresponsible for the human to act solely as a passenger. ",2,,,,,,,,1,,3,,40,1,,1,7,63483ed07567f8b5238da77c
2023-08-13 16:46:12,2023-08-13 16:48:29,0,174.213.161.52,100,137,1,2023-08-13 16:48:30,R_2wbFZPOT4kzSjWl,,,,,41.6021,-93.6124,anonymous,EN,1,60767cbbfb3b5575a5c46144,2,2,2,1,,,,,,,,3,34,77,42,48,"The company because it was their choice to do things in that way ",1,2,,3,,25,3,,1,31,60767cbbfb3b5575a5c46144
2023-08-13 16:46:11,2023-08-13 16:49:08,0,98.44.235.47,100,176,1,2023-08-13 16:49:08,R_3Mck6o7dJIBVd8O,,,,,29.7388,-95.8309,anonymous,EN,1,60ba71aa8f2ae12d3a595982,2,2,2,4,4,20,75,51,93,"Human driver is liable because even with the auto pilot car, he should be paying attention to the road.",2,,,,,,,,2,,2,,21,4,,1,79,60ba71aa8f2ae12d3a595982
2023-08-13 16:41:52,2023-08-13 16:49:47,0,174.68.24.17,100,475,1,2023-08-13 16:49:47,R_9ouN5ZLFkYj9fGN,,,,,29.9734,-90.0885,anonymous,EN,1,61031969a06487d223b57189,2,2,2,4,,,,,,,,5,83,75,77,75,The company is more liable for the accident because the Copilot system is meant to support the driver and catch things they may not.,1,2,,5,,21,3,,1,29,61031969a06487d223b57189
2023-08-13 16:43:43,2023-08-13 16:53:14,0,174.21.147.97,100,571,1,2023-08-13 16:53:15,R_1CpsKN0nsq13Akb,,,,,47.6348,-122.3451,anonymous,EN,1,5d1b65ad26839f0001cca24c,2,2,2,4,6,90,70,80,100,"While I believe that they both hold some liability, the the driver is more liable in this scenario. They were distracted and unable to intervene and stop the vehicle.",2,,,,,,,,1,,3,,31,1,,2,55,5d1b65ad26839f0001cca24c
2023-08-13 16:52:47,2023-08-13 16:56:22,0,68.48.235.238,100,214,1,2023-08-13 16:56:22,R_UllEA4uXC5fUSFH,,,,,42.0694,-83.2149,anonymous,EN,1,64060f1213c5c70c63c18b96,2,2,2,4,,,,,,,,5,86,14,100,11,"The man was being driven home by the Aeon copilot system, therefore copilot was in charge and responsible for the accident.",1,2,,3,,48,3,,1,35,64060f1213c5c70c63c18b96
2023-08-13 16:52:37,2023-08-13 16:56:29,0,184.189.69.90,100,232,1,2023-08-13 16:56:30,R_3NJPPNKZG8KE31b,,,,,30.236,-92.2599,anonymous,EN,1,5f480b6311a040293ace095a,2,2,2,4,,,,,,,,5,0,81,73,81,"They are both liable. The human looked at a text message, however, the company made certain promises and it seems failed on those promises.",2,2,,5,,26,4,,1,20,5f480b6311a040293ace095a
2023-08-13 16:52:15,2023-08-13 16:56:53,0,172.58.122.37,100,278,1,2023-08-13 16:56:54,R_2uTExaq5yYZAbAY,,,,,42.3663,-82.9987,anonymous,EN,1,6413726ed1d3b654058b99de,2,2,2,4,5,74,83,50,88,"The human is responsible because that person is still behind the steering wheel. ",2,,,,,,,,1,,3,,38,1,,1,0,6413726ed1d3b654058b99de
2023-08-13 16:49:24,2023-08-13 16:59:51,0,98.234.21.94,100,627,1,2023-08-13 16:59:51,R_2rkztTsRgJUKCNA,,,,,37.9895,-121.8023,anonymous,EN,1,5fe33b2f46872ef2fb28db7b,2,2,2,4,4,69,75,71,77,"I think it really depends on what level of automation should have been expected by Aeon, but there is an obvious element of negligence from the driver's part here.",2,,,,,,,,1,,2,,21,3,,1,55,5fe33b2f46872ef2fb28db7b
2023-08-13 16:52:45,2023-08-13 17:00:19,0,74.105.190.69,100,453,1,2023-08-13 17:00:20,R_2rVgimzLux0zkeu,,,,,40.7242,-74.1977,anonymous,EN,1,5e9f90b332b4b4134dfc2384,2,2,2,4,,,,,,,,5,65,89,83,74,"Aeon is more liable for the accident because the purpose of automated driving is to help the human in emergency situations, quick reactions, and fixing human error",2,2,,4,,21,4,,1,51,5e9f90b332b4b4134dfc2384
2023-08-13 16:54:00,2023-08-13 17:00:37,0,71.233.187.147,100,397,1,2023-08-13 17:00:38,R_2qkFXPyoVilGSOq,,,,,42.415,-71.0527,anonymous,EN,1,5f569520d3eea60ecdccfbd8,2,2,2,4,5,65,79,61,75,"Aeon stayed the technology to do a certain degree of automation. If it did not perform as advertised then the automaker is responsible. Similarly, if while driving my vehicle and the steering wheel falls off due to faulty manufacturing, the vehicle manufacturer should be liable. ",2,,,,,,,,1,,3,,51,4,,1,27,5f569520d3eea60ecdccfbd8
2023-08-13 16:49:46,2023-08-13 17:03:14,0,24.191.6.40,100,807,1,2023-08-13 17:03:14,R_309aEOwruDwcM2a,,,,,40.912,-74.554,anonymous,EN,1,5397abb5fdf99b1ccc3f1223,2,2,2,4,,,,,,,,2,50,50,50,50,"It's hard to say. I think the human becomes reliable to back up the copilot, however, if it's reached a point where the non-human driver has a high level of reliability, I could see humans getting too comfortable and relying more fully on the copilot, putting the liability on the system!",1,1,,3,,32,4,,2,30,5397abb5fdf99b1ccc3f1223
