"","cond","automation","software responsibility","human responsibility","firm liability","human liability","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","ss"
"1",1,4,92,41,91,40,2,"",2,"",23,4,"",1,0,1
"3",1,2,60,50,60,50,1,"",3,"",27,3,"",1,60,2
"10",1,2,80,85,90,80,1,"",6,"Pacific Islander",23,3,"",1,40,3
"11",1,4,90,65,90,50,2,"",2,"",34,6,"",1,20,4
"13",2,4,39,88,63,77,2,"",4,"",32,4,"",1,50,5
"14",1,4,80,50,60,40,2,"",3,"",22,4,"",1,50,6
"16",2,4,80,70,85,80,2,"",2,"",22,5,"",1,30,7
"21",2,2,100,100,100,100,1,"",3,"",27,3,"",1,0,8
"22",2,1,76,36,75,27,1,"",3,"",44,3,"",1,68,9
"24",1,5,75,30,75,31,2,"",2,"",23,4,"",1,15,10
"31",1,4,70,75,84,70,2,"",3,"",25,4,"",1,38,11
"34",1,6,100,65,80,70,2,"",3,"",31,1,"",1,10,12
"36",1,4,95,10,49,51,1,"",3,"",24,4,"",1,15,13
"41",2,5,88,26,76,54,1,"",3,"",35,4,"",1,56,14
"42",1,6,50,50,50,50,3,"",7,"",50,4,"",1,20,15
"46",1,5,100,100,90,100,2,"",3,"",58,3,"",1,20,16
"47",2,6,68,30,74,30,2,"",1,"",31,3,"",1,51,17
"48",1,4,63,79,59,92,1,"",3,"",18,1,"",2,65,18
"52",1,3,80,100,80,100,1,"",3,"",41,4,"",1,10,19
"55",2,2,69,100,75,100,1,"",4,"",33,4,"",1,27,20
"57",2,4,98,91,100,88,1,"",3,"",37,7,"",1,39,21
"60",1,5,96,42,91,26,1,"",3,"",19,3,"",1,63,22
"63",2,4,12,100,3,100,1,"",4,"",22,3,"",1,81,23
"66",2,5,60,80,60,80,2,"",5,"",31,5,"",1,60,24
"68",1,5,22,100,21,100,2,"",3,"",43,4,"",1,18,25
"70",1,4,72,72,55,83,1,"",3,"",32,3,"",2,66,26
"74",2,5,20,80,19,95,2,"",3,"",34,4,"",1,39,27
"75",2,4,85,50,80,50,1,"",2,"",29,3,"",1,10,28
"77",1,4,45,55,20,75,1,"",3,"",33,2,"",1,65,29
"81",1,4,55,100,55,95,2,"",3,"",50,2,"",1,60,30
