StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,comp_3,words_1,level_1,level_2,hard_1_1,info_text,level_3,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,clicked
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $1.60 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.",You were shown a table. What did the table represent?,What were the values for vehicle type #1 (the one at the top of the table)?,"Also, to prove that you visited the website, please type the very last word that occurs on the website (at the bottom-right of the page) below:","Please use the following text box to type any words or phrases you might recall from the website. Please note that the goal of this task is not to test accuracy, so please do your best to recall any words or phrases without referencing the website again","The next question is based on the automation levels that were shown in a table in a previous question. The table is shown again at the bottom of this page for your reference.

On Tesla's Autopilot website, were you able to find the level of automation for Tesla's Autopilot? 
Note- the goal of this question is not to test accuracy, so please do not search for this information on other search engines such as Google. Please only refer to your memory of the website link provided in this survey, without looking at the website again.","Please indicate what level of automation you think Tesla Autopilot is, based on the information provided on the website. 



Note- the goal of this question is not to test accuracy so please do not search for this information on other search engines such as Google. Please only refer to your memory of the website link provided in this survey, without looking at the website again.",How easy or hard was is to find this information?,Please explain where on Tesla's website you were able to find this information on Autopilot's automation level.,"Please indicate what level of automation you think Tesla Autopilot is, based on the information provided on the website. 


Note- the goal of this question is not to test accuracy so please do not search for this information on other search engines such as Google. Please only refer to the website link provided in this survey.",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Do you have a driving license?,How much would you say you know about automated cars?,PROLIFIC_PID,clicked
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID163_TEXT""}","{""ImportId"":""QID175""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""clicked""}"
2023-07-28 08:30:38,2023-07-28 08:30:38,Survey Test,,100,0,True,2023-07-28 08:30:38,R_eVCAaabYm8V4Qaq,,,,,,,test,,I agree,"Luctus! Non dui? Rutrum faucibus consectetuer! Per mattis aliquam, rutrum malesuada donec? Sollicitudin! Suscipit sem.",John,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:38,2023-07-28 08:30:38,Survey Test,,100,0,True,2023-07-28 08:30:38,R_7Pu3sb3EleYpDxQ,,,,,,,test,,I agree,Tempor cursus enim arcu! Eros? Malesuada atque maecenas? Nunc magnis fusce.,Both John and Paul,Purple,The number of typical daily tasks controlled by humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE",Laoreet? Velit fringilla sagittis! Fermentum? Scelerisque ipsum arcu id cursus.,At rutrum tincidunt tincidunt? Vehicula eleifend. Dignissim tortor accumsan potenti in? Montes.,No,,,,Level 3,Prefer not to disclose,,Asian,,Dictumst sagittis venenatis sodales venenatis quam eleifend facilisis tempor? Ridiculus ipsum. Culpa ipsum.,Some College,,Yes,2,,0
2023-07-28 08:30:38,2023-07-28 08:30:38,Survey Test,,100,0,True,2023-07-28 08:30:38,R_3aWTApdaH1cj0qO,,,,,,,test,,I agree,"Ante, fermentum egestas arcu leo. Mattis, et elit augue! Vel amet! Mattis nullam nullam consequat.",Both John and Paul,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:39,2023-07-28 08:30:39,Survey Test,,100,0,True,2023-07-28 08:30:39,R_02GYSi8mqIAEh8i,,,,,,,test,,I disagree,Eleifend ante dapibus tellus potenti suscipit etiam duis dictumst ante nec etiam.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:39,2023-07-28 08:30:39,Survey Test,,100,0,True,2023-07-28 08:30:39,R_2oFKT2588RuyFmu,,,,,,,test,,I agree,"Cras magna dictumst laoreet facilisi mattis fermentum tempor ridiculus donec venenatis commodo at facilisi, tempus.",Neither John nor Paul,Purple,Different types of vehicles based on how many driving tasks are controlled by humans vs. machines,"MACHINE, HUMAN, HUMAN, MACHINE","A temporibus! Dapibus ullamcorper iaculis viverra suspendisse. Volutpat fringilla, fermentum.","Velit. Eu quam, tortor consectetuer. Sem placerat suspendisse natoque curabitur eros maecenas! Consectetuer justo mattis.",No,,,,Level 2,Female,,White or European,,"Eleifend praesent nonummy vulputate mauris accusamus bibendum. Erat, primis consectetuer.",Other (please specify),Sapien magnis! Vitae pharetra odio purus consequat auctor potenti arcu vehicula commodo.,No,42,,0
2023-07-28 08:30:39,2023-07-28 08:30:39,Survey Test,,100,0,True,2023-07-28 08:30:39,R_afSgBShe1bcoDUW,,,,,,,test,,I agree,Dolorem tempus placerat pharetra. Vel! Consequat! Porta pharetra ultricies eros et.,Both John and Paul,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:39,2023-07-28 08:30:39,Survey Test,,100,0,True,2023-07-28 08:30:40,R_3wmnziqoumcwCtE,,,,,,,test,,I disagree,Justo convallis? Cursus luctus. Arcu ligula laoreet! Cras sodales interdum.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:40,2023-07-28 08:30:40,Survey Test,,100,0,True,2023-07-28 08:30:40,R_5d9uHyb2haGo9WS,,,,,,,test,,I disagree,Rutrum porta per! Quam metus mauris venenatis accusamus at cras temporibus.,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:40,2023-07-28 08:30:40,Survey Test,,100,0,True,2023-07-28 08:30:40,R_cYpXrTyzXFh5qEC,,,,,,,test,,I agree,Nullam donec bibendum porttitor etiam. Porta facilisi commodo praesent aenean elementum aliquam gravida molestie.,Neither John nor Paul,Green,,,,,,,,,,,,,,,,,,,,
2023-07-28 08:30:40,2023-07-28 08:30:40,Survey Test,,100,0,True,2023-07-28 08:30:40,R_0uYTbPa0bTQ28JM,,,,,,,test,,I agree,"Vitae temporibus ac praesent etiam sed nonummy natoque. Pharetra diam rhoncus, pretium odio nulla.",John,Green,,,,,,,,,,,,,,,,,,,,
