StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,Q1,att_1,att_2,comp_1,comp_2,auto_1,auto_1_ad,ad_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,co_1_ad,ad_2,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $1.00 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.",You were shown a table. What did the table represent?,What were the values for vehicle type #1 (the one at the top of the table)?,What do you perceive as the level of automation for AEON's AUTOPILOT Program?,What do you perceive as the level of automation for AEON's AUTOPILOT Program?,What is the claim made by the advertisement above?,Aeon's Autopilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Autopilot described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What do you perceive as the level of automation for AEON's COPILOT Program?,What do you perceive as the level of automation for AEON's COPILOT Program?,What is the claim made by the advertisement above?,Aeon's Copilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Copilot system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Do you have a driving license?,How much would you say you know about automated cars?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1716669947_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID143""}","{""ImportId"":""QID148""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID123_10""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID131""}","{""ImportId"":""QID10""}","{""ImportId"":""QID150""}","{""ImportId"":""QID153""}","{""ImportId"":""QID118_10""}","{""ImportId"":""QID126_10""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}"
2023-10-16 13:55:56,2023-10-16 14:00:22,0,96.245.114.199,100,265,1,2023-10-16 14:00:23,R_263AHFcafa0IPep,,,,,39.83,-75.4155,anonymous,EN,1,60ff3e0acd5d4ea4b594c15c,2,2,2,4,,5,1,10,90,59,85,"Human driver ultimately is seeing what is in front of them. Therefore, the human driver should have seen the sign. ",2,,,,,,,,,,2,,3,,29,5,,1,17,60ff3e0acd5d4ea4b594c15c
2023-10-16 13:57:15,2023-10-16 14:04:32,0,73.47.41.189,100,437,1,2023-10-16 14:04:33,R_ebmX5nJU9KZVqPT,,,,,41.9261,-71.3011,anonymous,EN,1,5c676d436f250200012a04e8,2,2,2,4,,6,1,80,20,80,20,"From the way I interpreted the Autopilot system, Aeon is responsible for the lion's share of the liability. Were it me, there would be an expectation that the Autopilot system will obey and be fully capable of recognizing traffic signs/laws so that eyes can be taken off of the road. ",2,,,,,,,,,,2,,3,,35,4,,1,0,5c676d436f250200012a04e8
2023-10-16 14:22:27,2023-10-16 14:26:09,0,67.79.12.198,100,221,1,2023-10-16 14:26:10,R_1n7vEgB6Lt5GPmx,,,,,29.7339,-98.0697,anonymous,EN,1,5daa79d095be5f0017360d60,2,2,2,4,,,,,,,,,,,4,1,0,100,0,100,Was the driver promised stopping? Seems like the human is still responsible and should be alert to the surroundings.,1,1,,3,,35,5,,1,23,5daa79d095be5f0017360d60
2023-10-16 14:18:59,2023-10-16 14:29:16,0,73.25.158.169,100,616,1,2023-10-16 14:29:16,R_3MoH3eMjIrHs5ox,,,,,45.5288,-122.6821,anonymous,EN,1,5c05a2769af2bc00012b6a65,2,2,2,4,,,,,,,,,,4,,,69,68,67,77,"I don't know who is more liable but I tend to say the human driver I suppose because he should know better than to trust a computer to be able to operate like a human in such a complex and context dependent situation (driving) it also seems troubling to consider fault could start being lifted from human drivers, which would surely increase how careless drivers are and result in them killing more people but facing no consequences, which to me would be an extreme dystopia.",1,2,,3,,29,3,,2,13,5c05a2769af2bc00012b6a65
2023-10-16 14:29:54,2023-10-16 14:32:51,0,131.106.97.33,100,177,1,2023-10-16 14:32:52,R_1IzsajEbfXlemfy,,,,,40.6941,-75.2904,anonymous,EN,1,6329c3f65e49f1fe88e850e4,2,2,3,4,4,,,68,90,70,90,"They are both liable for the accident but the human driver is more liable. The human should be paying attention and take control when necessary, but the car company can still be liable if their is a defect with the car.",3,,,,,,,,,,1,,3,,31,4,,1,65,6329c3f65e49f1fe88e850e4
2023-10-16 14:33:10,2023-10-16 14:38:14,0,71.185.180.152,100,303,1,2023-10-16 14:38:15,R_1jwYnzXAWPMLnLZ,,,,,40.1101,-75.1567,anonymous,EN,1,5ee170353bcc94199e926a7e,2,2,2,4,4,,,40,71,60,80,"I believe the Aeon and the human driver is liable. After all, the autopilot system has to have a human being initiate it, and therefore the human being must be held responsible. ",3,,,,,,,,,,1,,2,,27,4,,1,40,5ee170353bcc94199e926a7e
2023-10-16 14:33:29,2023-10-16 14:40:24,0,47.135.193.18,100,415,1,2023-10-16 14:40:25,R_3NxJvilGfBRDLlJ,,,,,35.4875,-80.9876,anonymous,EN,1,63c068ce0fbe9f6e7790e09d,2,2,2,4,,5,1,80,81,72,51,"I think they both are responsible because the car was not doing what it was suppose to do set on autopilot, but the human is still responsible for an accident that harms another if it malfunctions.  ",2,,,,,,,,,,2,,3,,53,3,,1,60,63c068ce0fbe9f6e7790e09d
2023-10-16 14:32:41,2023-10-16 14:40:38,0,24.28.73.192,100,477,1,2023-10-16 14:40:39,R_BLZ4EvLpBtUL7lD,,,,,30.2627,-97.7467,anonymous,EN,1,5e59aa8dd3e2d31bb670008b,2,2,2,4,,,,,,,,,,,4,1,55,30,57,47,"I think that if the man had the Copilot system switched on then the car theoretically should have been able to observe the stop sign and either alerted the driver of the sign or put on the breaks itself in order to avoid the collision. It seems like a very basic task for this type of car system. ",1,2,,3,,33,3,,1,36,5e59aa8dd3e2d31bb670008b
